Category,Sample,method,R1_R2_reads_combined,sample_proportion,R1_R2_read_proportion
0363238987_S301_L001_R1_001.fastp.fastq.gz,363238987_R1,Fluorescent Quantification,11804,0.257441688,0.257441688
0363148453_S110_L001_R1_001.fastp.fastq.gz,363148453_R1,Fluorescent Quantification,11776,0.256831016,0.256831016
0363148428_S201_L001_R1_001.fastp.fastq.gz,363148428_R1,Fluorescent Quantification,11698,0.25512986,0.25512986
0363237255_S375_L001_R1_001.fastp.fastq.gz,363237255_R1,Fluorescent Quantification,11684,0.254824524,0.254824524
0363238255_S50_L001_R1_001.fastp.fastq.gz,363238255_R1,Fluorescent Quantification,11642,0.253908516,0.253908516
0363146951_S305_L001_R1_001.fastp.fastq.gz,363146951_R1,Fluorescent Quantification,11598,0.25294889,0.25294889
0363238212_S336_L001_R1_001.fastp.fastq.gz,363238212_R1,Fluorescent Quantification,11592,0.252818032,0.252818032
0363236783_S219_L001_R1_001.fastp.fastq.gz,363236783_R1,Fluorescent Quantification,11540,0.251683926,0.251683926
0363237564_S118_L001_R1_001.fastp.fastq.gz,363237564_R1,Fluorescent Quantification,11496,0.2507243,0.2507243
0363237579_S174_L001_R1_001.fastp.fastq.gz,363237579_R1,Fluorescent Quantification,11480,0.250375344,0.250375344
0363238243_S60_L001_R1_001.fastp.fastq.gz,363238243_R1,Fluorescent Quantification,11434,0.249372098,0.249372098
0363146985_S84_L001_R1_001.fastp.fastq.gz,363146985_R1,Fluorescent Quantification,11428,0.24924124,0.24924124
0363237574_S161_L001_R1_001.fastp.fastq.gz,363237574_R1,Fluorescent Quantification,11352,0.247583704,0.247583704
0363237556_S183_L001_R1_001.fastp.fastq.gz,363237556_R1,Fluorescent Quantification,11326,0.247016652,0.247016652
0363148392_S232_L001_R1_001.fastp.fastq.gz,363148392_R1,Fluorescent Quantification,11302,0.246493218,0.246493218
0363237587_S173_L001_R1_001.fastp.fastq.gz,363237587_R1,Fluorescent Quantification,11302,0.246493218,0.246493218
0363148377_S222_L001_R1_001.fastp.fastq.gz,363148377_R1,Fluorescent Quantification,11288,0.246187882,0.246187882
0363238223_S11_L001_R1_001.fastp.fastq.gz,363238223_R1,Fluorescent Quantification,11268,0.245751688,0.245751688
0363146984_S20_L001_R1_001.fastp.fastq.gz,363146984_R1,Fluorescent Quantification,11236,0.245053778,0.245053778
0363238996_S296_L001_R1_001.fastp.fastq.gz,363238996_R1,Fluorescent Quantification,11218,0.244661204,0.244661204
0363148371_S268_L001_R1_001.fastp.fastq.gz,363148371_R1,Fluorescent Quantification,11170,0.243614338,0.243614338
